timestamp,market_hash_name,currency,min_24h,max_24h,avg_24h,median_24h,vol_24h,min_7d,max_7d,avg_7d,median_7d,vol_7d,min_30d,max_30d,avg_30d,median_30d,vol_30d,min_90d,max_90d,avg_90d,median_90d,vol_90d,item_page,market_page
2026-03-11T19:01:36,AUG | Death by Puppy (Minimal Wear),USD,,,,,0,5.38,6.78,6.38,6.65,6,3.6,6.85,6.2,6.42,37,3.6,8,6.22,6.35,88,https://skinport.com/item/aug-death-by-puppy-minimal-wear,https://skinport.com/market?item=Death%20by%20Puppy&cat=Rifle&type=AUG
2026-03-11T19:01:36,★ Broken Fang Gloves | Needle Point (Well-Worn),USD,,,,,0,75.84,75.84,75.84,75.84,1,58.6,75.84,68.14,68.5,16,58.6,80.96,69.78,69.12,52,https://skinport.com/item/broken-fang-gloves-needle-point-well-worn,https://skinport.com/market?item=Needle%20Point&cat=Gloves&type=Broken%20Fang%20Gloves
2026-03-11T19:01:36,Desert Eagle | Kumicho Dragon (Minimal Wear),USD,33.89,36.03,34.94,34.9,3,30.87,36.03,33.97,33.97,28,27.14,77.78,34.32,33.55,110,24.4,81.37,33.67,32.73,362,https://skinport.com/item/desert-eagle-kumicho-dragon-minimal-wear,https://skinport.com/market?item=Kumicho%20Dragon&cat=Pistol&type=Desert%20Eagle
2026-03-11T19:01:36,Galil AR | Chromatic Aberration (Minimal Wear),USD,8.68,11.51,10.34,10.46,15,8.45,23.19,10.38,9.3,49,6.98,23.19,9.62,9.07,207,6.62,23.19,9.6,9.29,565,https://skinport.com/item/galil-ar-chromatic-aberration-minimal-wear,https://skinport.com/market?item=Chromatic%20Aberration&cat=Rifle&type=Galil%20AR
2026-03-11T19:01:36,M4A4 | Temukau (Field-Tested),USD,35.44,43.37,39.22,38.51,6,29.07,53.47,40.15,39.76,60,29.07,54.16,39.89,38.97,283,28.31,63.82,39.3,38.72,840,https://skinport.com/item/m4a4-temukau-field-tested,https://skinport.com/market?item=Temukau&cat=Rifle&type=M4A4
2026-03-11T19:01:36,MP7 | Smoking Kills (Minimal Wear),USD,18.86,21.57,20.53,21.4,5,17.31,28.95,21.5,21.56,29,17.31,46.29,25.59,24.42,103,12.79,63.19,24.45,22.32,282,https://skinport.com/item/mp7-smoking-kills-minimal-wear,https://skinport.com/market?item=Smoking%20Kills&cat=SMG&type=MP7
2026-03-11T19:01:36,MP9 | Latte Rush (Field-Tested),USD,35.68,47.9,41.8,41.79,2,30.74,64.68,37.97,35.23,13,29.71,64.68,35.08,34.11,55,29.29,64.68,38.19,37.03,151,https://skinport.com/item/mp9-latte-rush-field-tested,https://skinport.com/market?item=Latte%20Rush&cat=SMG&type=MP9
2026-03-11T19:01:36,★ Paracord Knife | Slaughter (Factory New),USD,163.19,163.19,163.19,163.19,1,163.19,185.23,173.63,173.05,4,149.57,186.02,167.47,164.43,27,97.52,216.29,164.15,162.55,85,https://skinport.com/item/paracord-knife-slaughter-factory-new,https://skinport.com/market?item=Slaughter&cat=Knife&type=Paracord%20Knife
2026-03-11T19:01:36,Special Agent Ava | FBI,USD,24.67,29.45,27.55,27.19,23,23.25,33.67,27.69,27.18,115,21.42,34.11,27.3,27.19,476,17.28,34.65,26.44,26.53,1375,https://skinport.com/item/special-agent-ava-fbi,https://skinport.com/market?item=Special%20Agent%20Ava&cat=Agent&type=FBI
2026-03-11T19:01:36,StatTrak™ AK-47 | Nightwish (Minimal Wear),USD,,,,,0,78.05,86.66,81.9,81.19,7,56.42,97.94,77.26,77.08,49,55.37,303.7,77.44,75.9,158,https://skinport.com/item/stattrak-ak-47-nightwish-minimal-wear,https://skinport.com/market?item=Nightwish&cat=Rifle&type=AK-47
2026-03-11T19:01:36,StatTrak™ AWP | Fever Dream (Minimal Wear),USD,28.44,28.44,28.44,28.44,1,27.12,29.82,28.23,27.97,4,25.52,39.37,29.46,28.93,18,20.93,39.37,27.57,27.42,75,https://skinport.com/item/stattrak-awp-fever-dream-minimal-wear,https://skinport.com/market?item=Fever%20Dream&cat=Rifle&type=AWP
2026-03-11T19:01:36,StatTrak™ SG 553 | Darkwing (Minimal Wear),USD,2.4,2.8,2.6,2.6,2,2.4,4.53,3.58,3.84,8,1.66,5.28,3.27,2.85,41,1.66,5.28,2.91,2.69,123,https://skinport.com/item/stattrak-sg-553-darkwing-minimal-wear,https://skinport.com/market?item=Darkwing&cat=Rifle&type=SG%20553
2026-03-11T19:01:36,Tec-9 | Jambiya (Minimal Wear),USD,1.15,1.52,1.34,1.34,2,1.15,2.16,1.49,1.43,8,1.13,2.28,1.45,1.37,20,0.7,2.28,1.16,1.15,71,https://skinport.com/item/tec-9-jambiya-minimal-wear,https://skinport.com/market?item=Jambiya&cat=Pistol&type=Tec-9
2026-03-11T19:01:36,The Elite Mr. Muhlik | Elite Crew,USD,13.82,15.18,14.53,14.38,5,12.79,15.8,14.85,15,43,11.15,15.89,14.84,15,184,10.91,29.07,14.88,15.01,588,https://skinport.com/item/the-elite-mr-muhlik-elite-crew,https://skinport.com/market?item=The%20Elite%20Mr.%20Muhlik&cat=Agent&type=Elite%20Crew
2026-03-11T19:01:36,XM1014 | Run Run Run (Factory New),USD,,,,,0,5.13,23.65,7.85,7.19,17,4.53,23.65,6.74,6.51,88,3.49,23.65,6.62,6.32,148,https://skinport.com/item/xm1014-run-run-run-factory-new,https://skinport.com/market?item=Run%20Run%20Run&cat=Heavy&type=XM1014
